ts_unix_ms,ok,status_code,latency_ms,error
1779547234044,1,200,11.462,
1779547234045,1,200,17.336,
1779547234046,1,200,19.114,
1779547234047,1,200,7.422,
1779547234047,1,200,17.172,
1779547234048,1,200,3.406,
1779547234048,1,200,20.923,
1779547234050,1,200,7.456,
1779547234051,1,200,10.559,
1779547234052,1,200,8.399,
1779547234052,1,200,14.514,
1779547234053,1,200,7.618,
1779547234054,1,200,14.348,
1779547234054,1,200,10.151,
1779547234056,1,200,19.153,
1779547234057,1,200,12.246,
1779547234057,1,200,8.532,
1779547234058,1,200,11.398,
1779547234059,1,200,8.526,
1779547234059,1,200,17.228,
1779547234061,1,200,12.980,
1779547234061,1,200,28.111,
1779547234063,1,200,12.353,
1779547234064,1,200,17.389,
1779547234065,1,200,12.268,
1779547234066,1,200,31.154,
1779547234067,1,200,13.015,
1779547234067,1,200,10.810,
1779547234069,1,200,14.793,
1779547234069,1,200,15.869,
1779547234071,1,200,11.817,
1779547234071,1,200,18.923,
1779547234072,1,200,12.464,
1779547234072,1,200,9.322,
1779547234073,1,200,7.407,
1779547234073,1,200,17.769,
1779547234074,1,200,12.551,
1779547234075,1,200,5.615,
1779547234075,1,200,16.534,
1779547234076,1,200,14.506,
1779547234077,1,200,10.200,
1779547234077,1,200,12.800,
1779547234079,1,200,22.003,
1779547234080,1,200,7.692,
1779547234082,1,200,5.484,
1779547234083,1,200,11.637,
1779547234085,1,200,12.830,
1779547234086,1,200,9.588,
1779547234086,1,200,12.749,
1779547234087,1,200,9.427,
1779547234087,1,200,19.671,
1779547234088,1,200,17.007,
1779547234089,1,200,14.097,
1779547234090,1,200,26.051,
1779547234092,1,200,6.117,
1779547234094,1,200,19.147,
1779547234094,1,200,15.369,
1779547234095,1,200,15.651,
1779547234096,1,200,8.470,
1779547234096,1,200,22.579,
1779547234097,1,200,27.968,
1779547234097,1,200,14.737,
1779547234100,1,200,10.784,
1779547234101,1,200,14.092,
1779547234101,1,200,5.524,
1779547234102,1,200,16.640,
1779547234102,1,200,19.806,
1779547234104,1,200,17.685,
1779547234104,1,200,30.154,
1779547234105,1,200,10.674,
1779547234106,1,200,15.773,
1779547234107,1,200,14.883,
1779547234107,1,200,19.383,
1779547234108,1,200,13.956,
1779547234109,1,200,11.185,
1779547234110,1,200,7.836,
1779547234111,1,200,14.566,
1779547234111,1,200,15.884,
1779547234112,1,200,8.703,
1779547234113,1,200,9.122,
1779547234114,1,200,11.159,
1779547234114,1,200,7.411,
1779547234116,1,200,11.061,
1779547234117,1,200,15.617,
1779547234119,1,200,22.048,
1779547234120,1,200,19.446,
1779547234121,1,200,10.148,
1779547234123,1,200,12.852,
1779547234123,1,200,23.537,
1779547234124,1,200,16.034,
1779547234124,1,200,18.545,
1779547234125,1,200,8.270,
1779547234126,1,200,9.235,
1779547234127,1,200,18.398,
1779547234128,1,200,21.124,
1779547234129,1,200,15.563,
1779547234131,1,200,18.367,
1779547234131,1,200,6.949,
1779547234131,1,200,18.303,
1779547234132,1,200,20.787,
1779547234133,1,200,14.194,
1779547234134,1,200,13.476,
1779547234135,1,200,8.055,
1779547234136,1,200,15.101,
1779547234136,1,200,5.091,
1779547234137,1,200,12.731,
1779547234138,1,200,12.098,
1779547234141,1,200,13.077,
1779547234142,1,200,18.597,
1779547234142,1,200,28.145,
1779547234143,1,200,14.274,
1779547234144,1,200,9.618,
1779547234144,1,200,13.561,
1779547234145,1,200,22.395,
1779547234145,1,200,9.534,
1779547234146,1,200,12.961,
1779547234148,1,200,16.336,
1779547234149,1,200,10.846,
1779547234149,1,200,16.827,
1779547234151,1,200,9.406,
1779547234151,1,200,14.856,
1779547234153,1,200,17.490,
1779547234153,1,200,27.793,
1779547234155,1,200,10.524,
1779547234155,1,200,7.712,
1779547234157,1,200,14.921,
1779547234158,1,200,13.068,
1779547234160,1,200,10.955,
1779547234160,1,200,16.106,
1779547234161,1,200,7.947,
1779547234161,1,200,17.860,
1779547234163,1,200,11.712,
1779547234163,1,200,5.050,
1779547234164,1,200,11.042,
1779547234164,1,200,9.523,
1779547234165,1,200,19.813,
1779547234166,1,200,14.584,
1779547234167,1,200,6.216,
1779547234168,1,200,21.261,
1779547234169,1,200,19.827,
1779547234169,1,200,31.896,
1779547234170,1,200,6.554,
1779547234171,1,200,14.118,
1779547234171,1,200,11.232,
1779547234173,1,200,17.675,
1779547234174,1,200,6.658,
1779547234175,1,200,15.572,
1779547234176,1,200,13.056,
1779547234177,1,200,34.635,
1779547234178,1,200,16.772,
1779547234179,1,200,13.097,
1779547234180,1,200,14.221,
1779547234181,1,200,9.676,
1779547234183,1,200,9.834,
1779547234183,1,200,19.604,
1779547234185,1,200,17.378,
1779547234186,1,200,6.800,
1779547234187,1,200,22.525,
1779547234188,1,200,12.905,
1779547234189,1,200,19.760,
1779547234189,1,200,8.445,
1779547234190,1,200,18.751,
1779547234190,1,200,20.458,
1779547234192,1,200,17.777,
1779547234192,1,200,16.727,
1779547234193,1,200,10.403,
1779547234194,1,200,16.789,
1779547234194,1,200,25.169,
1779547234195,1,200,16.424,
1779547234196,1,200,16.462,
1779547234197,1,200,9.939,
1779547234199,1,200,9.804,
1779547234200,1,200,4.969,
1779547234203,1,200,17.273,
1779547234203,1,200,6.244,
1779547234204,1,200,11.845,
1779547234204,1,200,13.922,
1779547234205,1,200,10.927,
1779547234206,1,200,13.630,
1779547234207,1,200,21.305,
1779547234207,1,200,23.634,
1779547234207,1,200,19.278,
1779547234208,1,200,12.188,
1779547234209,1,200,14.633,
1779547234211,1,200,11.103,
1779547234211,1,200,22.014,
1779547234212,1,200,22.482,
1779547234213,1,200,14.360,
1779547234214,1,200,10.717,
1779547234215,1,200,12.379,
1779547234216,1,200,22.261,
1779547234216,1,200,12.842,
1779547234218,1,200,3.864,
1779547234219,1,200,12.829,
1779547234220,1,200,13.651,
